acousticness,danceability,energy,speechiness,valence,BPM,song_title,artists,artists_url,date_added,album_cover,popularity,url,date_added_year
0.316,0.413,0.537,0.0311,0.118,77.661,Lay It Down,"ILLENIUM,Krewella,SLANDER","45eNHdiiabvmbp4erw26rg,0Cd6nHYwecCNM1sVEXKlYr,20DZAfCuP1TKZl5KcY7z3Q",2021-12-02,https://i.scdn.co/image/ab67616d0000b273700ed221054220bb30eb2d96,57,0dxAvCV7LGcGIJQZuqhmgL,2021
0.125,0.504,0.8,0.0391,0.789,205.945,Last Christmas,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2021-11-14,https://i.scdn.co/image/ab67616d0000b2730c053ee476f7ce576369241e,67,5xDrO9DEDJGUQGfyoHvgDJ,2021
0.633,0.743,0.631,0.0302,0.428,141.955,California (feat. Warren Hue),"88rising,Rich Brian,NIKI,Warren Hue","1AhjOkOLkbHUfcHDSErXQs,2IDLDx25HU1nQMKde4n61a,2kxP07DLgs4xlWz8YHlvfh,4qcKNkdxUidhvUByB2eQ6g",2021-11-12,https://i.scdn.co/image/ab67616d0000b2733cff28a3304728e97352a8a5,70,3Qj2f7BrpJNGj3dbxKpOlp,2021
0.0719,0.648,0.796,0.0404,0.379,110.079,Maze,"Mike Perry,Mangoo,Wanja Janeva","6lB8vOoI4DRrrVxXwuV19c,6ObeGN1qTsep95QRNOfNc3,662Igp1YSnkjdj96dqfEZ8",2021-11-09,https://i.scdn.co/image/ab67616d0000b2730d59f35662efa16ef9d969b5,2,50bjIS2faKZR8Gw04fbDxd,2021
0.737,0.495,0.333,0.0288,0.37,99.757,Unstable (feat. The Kid LAROI),"Justin Bieber,The Kid LAROI","1uNFoZAHBGtllmzznpCI3s,2tIP7SsRs7vjIcLrU85W8J",2021-11-05,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,75,137mSruegm1u6x9NvwiagR,2021
0.0619,0.511,0.804,0.0433,0.484,145.055,After You (feat. Calle Lehmann),"Gryffin,Jason Ross,Calle Lehmann","2ZRQcIgzPCVaT9XKhXZIzh,6CCTvLyIHqUhY6VQizt150,2QeNM65b7IWvK4Ofcqz8cm",2021-10-29,https://i.scdn.co/image/ab67616d0000b2736b709a2f4b49f628d6ab2326,71,6DiogHhtwkVgUHUDUJVuXV,2021
0.00637,0.541,0.848,0.0385,0.201,149.996,Ride With Me (feat. Kid Ink) - Blasterjaxx & Tungevaag Remix,"Tungevaag,Blasterjaxx,Kid Ink","49CE2ffZ6Z3zeYSDauSKck,37awA8DFCAnCCL7aqYbDnD,6KZDXtSj0SzGOV705nNeh3",2021-10-29,https://i.scdn.co/image/ab67616d0000b273b9e8fbb24c0af6ae16a77c7e,57,5A72ceCUwcsMUqkzd5t5Nu,2021
0.0101,0.567,0.963,0.0403,0.087,129.999,Unchained,"Blasterjaxx,Kevu","37awA8DFCAnCCL7aqYbDnD,1hSKIb96KuZ2SScNbnHCqU",2021-10-29,https://i.scdn.co/image/ab67616d0000b2739a7bb1782a0483b12fddf4bb,57,78ZqaiZIPi5XDdA25FkZfY,2021
0.0327,0.536,0.911,0.0298,0.41,149.99,Bassman,"Blasterjaxx,Harris & Ford","37awA8DFCAnCCL7aqYbDnD,4FDj6mh458K7m9Txwyj2rt",2021-10-29,https://i.scdn.co/image/ab67616d0000b27315b9598e0fd648e6fac39385,61,0X8PiJHcTFmmUwsGpvtFik,2021
0.000508,0.66,0.953,0.0782,0.118,127.958,I’ll Take You High,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,2021-10-29,https://i.scdn.co/image/ab67616d0000b273fb3aadbe5f1326e00318fbaa,43,6RzNO3nXYLdpsVNQ8GeXH1,2021
