Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPXW 01/19/2023 00:00:00 EST Put $3900.00,SPXW 01/19/2023 00:00:00 EST Put $3900.00,Sell,Cancelled,0,1,0.150,,DAY,01/19/2023 15:37:26 EST,
SPXW 01/19/2023 00:00:00 EST Put $3900.00,SPXW 01/19/2023 00:00:00 EST Put $3900.00,Buy,Filled,1,1,@0.250,0.250,DAY,01/19/2023 15:37:26 EST,01/19/2023 15:37:26 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Filled,1,1,0.680,0.680,DAY,01/19/2023 10:17:38 EST,01/19/2023 10:17:38 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Filled,1,1,0.600,0.600,DAY,01/19/2023 10:17:25 EST,01/19/2023 10:17:25 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Cancelled,0,1,0.390,,DAY,01/19/2023 10:15:37 EST,
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Buy,Filled,1,1,@0.550,0.550,DAY,01/19/2023 10:15:37 EST,01/19/2023 10:15:37 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Cancelled,0,1,0.400,,DAY,01/19/2023 10:14:09 EST,
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Buy,Filled,1,1,@0.560,0.560,DAY,01/19/2023 10:14:09 EST,01/19/2023 10:14:09 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Filled,1,1,0.540,0.540,DAY,01/19/2023 10:13:54 EST,01/19/2023 10:13:54 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Sell,Filled,1,1,0.530,0.530,DAY,01/19/2023 10:13:52 EST,01/19/2023 10:13:53 EST
SPY 01/20/2023 00:00:00 EST Call $393.00,SPY 01/20/2023 00:00:00 EST Call $393.00,Buy,Filled,2,2,@0.550,0.550,DAY,01/19/2023 10:13:43 EST,01/19/2023 10:13:43 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Filled,1,1,@1.32,1.32,DAY,01/19/2023 10:07:36 EST,01/19/2023 10:10:03 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Buy,Filled,1,1,@1.42,1.42,DAY,01/19/2023 10:07:36 EST,01/19/2023 10:07:36 EST
SPY 01/20/2023 00:00:00 EST Put $388.00,SPY 01/20/2023 00:00:00 EST Put $388.00,Sell,Filled,1,1,@1.36,1.36,DAY,01/19/2023 10:05:51 EST,01/19/2023 10:06:11 EST
SPY 01/20/2023 00:00:00 EST Put $388.00,SPY 01/20/2023 00:00:00 EST Put $388.00,Buy,Filled,1,1,@1.45,1.45,DAY,01/19/2023 10:05:51 EST,01/19/2023 10:05:52 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Filled,1,1,1.30,1.30,DAY,01/19/2023 10:05:05 EST,01/19/2023 10:05:05 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Cancelled,0,1,1.17,,DAY,01/19/2023 10:04:18 EST,
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Buy,Filled,1,1,@1.24,1.24,DAY,01/19/2023 10:04:18 EST,01/19/2023 10:04:19 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Filled,1,1,@1.23,1.23,DAY,01/19/2023 10:03:06 EST,01/19/2023 10:03:45 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Buy,Filled,1,1,@1.34,1.34,DAY,01/19/2023 10:03:06 EST,01/19/2023 10:03:06 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Filled,1,1,1.32,1.32,DAY,01/19/2023 10:02:48 EST,01/19/2023 10:02:48 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Filled,1,1,1.30,1.30,DAY,01/19/2023 10:02:48 EST,01/19/2023 10:02:48 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Buy,Filled,2,2,@1.36,1.36,DAY,01/19/2023 10:02:44 EST,01/19/2023 10:02:44 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Cancelled,0,1,@2.00,,GTC,01/19/2023 09:53:44 EST,
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Filled,1,1,@1.08,1.08,GTC,01/19/2023 09:53:44 EST,01/19/2023 09:55:54 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Filled,1,1,1.03,1.03,DAY,01/19/2023 09:51:45 EST,01/19/2023 09:51:46 EST
SPY 01/20/2023 00:00:00 EST Put $388.00,SPY 01/20/2023 00:00:00 EST Put $388.00,Sell,Filled,1,1,1.71,1.71,DAY,01/19/2023 09:49:45 EST,01/19/2023 09:49:45 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Cancelled,0,1,0.600,,DAY,01/19/2023 09:49:16 EST,
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Buy,Filled,1,1,@0.850,0.850,DAY,01/19/2023 09:49:16 EST,01/19/2023 09:49:16 EST
SPY 01/20/2023 00:00:00 EST Put $388.00,SPY 01/20/2023 00:00:00 EST Put $388.00,Sell,Filled,1,1,1.69,1.69,DAY,01/19/2023 09:49:02 EST,01/19/2023 09:49:03 EST
SPY 01/20/2023 00:00:00 EST Put $388.00,SPY 01/20/2023 00:00:00 EST Put $388.00,Buy,Filled,2,2,@1.64,1.64,DAY,01/19/2023 09:47:12 EST,01/19/2023 09:47:12 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Sell,Filled,1,1,1.18,1.18,DAY,01/19/2023 09:46:24 EST,01/19/2023 09:46:24 EST
TSLA 01/20/2023 00:00:00 EST Call $132.00,TSLA 01/20/2023 00:00:00 EST Call $132.00,Buy,Filled,2,2,@1.11,1.11,DAY,01/19/2023 09:45:59 EST,01/19/2023 09:45:59 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Filled,1,1,1.62,1.62,DAY,01/19/2023 09:39:06 EST,01/19/2023 09:39:06 EST
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Sell,Cancelled,0,1,1.45,,DAY,01/19/2023 09:37:55 EST,
SPY 01/20/2023 00:00:00 EST Call $391.00,SPY 01/20/2023 00:00:00 EST Call $391.00,Buy,Filled,1,1,@1.51,1.51,DAY,01/19/2023 09:37:55 EST,01/19/2023 09:37:55 EST
